Smiles,is_active
Cc1ccc(cc1)c2nnc3n2nc(s3)c4c(nns4)C,0
Cn1c2c(c(=O)n(c1=O)Cc3ccc(cc3)Cl)n(cn2)CC=C,0
C[C@@H]1CCc2c(sc3c2c(ncn3)Sc4nnnn4C)C1,0
c1cc2c(cc1OS(=O)(=O)c3ccc(s3)Cl)non2,0
COc1ccc(cc1)n2c(nnn2)C3(CCCCC3)N4CCCC4,0
Cc1c2cc3c(cc2oc(=O)c1CC(=O)[O-])occ3c4ccc(cc4)Cl,0
Cc1ccc(cc1C)C2=C(C(=NS2(=O)=O)[N-]c3cccc(c3)C(=O)C)C,0
CCOc1ccc(cc1)[N-]C2=NS(=O)(=O)C(=C2C)c3ccc(cc3)Cl,0
CN(Cc1nc2c3ccccc3oc2c(n1)[O-])[C@H]4CCCc5c4cccc5,0
Cc1cccc2c1nc(s2)/N=C(/c3cccc(c3)OC[C@H]4CCCO4)\[O-],0
c1ccc2c(c1)CCN2C(=O)N[C@H]3CC(=O)N(C3)c4ccc(cc4)F,0
CC1(Cc2c(cnc(n2)NC(=O)c3ccc(cc3)F)C(=O)C1)C,0
c1cc(cnc1)[C@H]2c3cccn3CCN2C(=O)Nc4ccc(cc4)F,0
CC1CCN(CC1)c2nc3c(s2)c(=O)n(c(=S)[nH]3)C(C)C,0
c1c/c(=[NH+]\S(=O)(=O)c2ccc(nc2)Cl)/c-3ccc[n-]c3c1,0
c1cc(cc(c1)S(=O)(=O)NCc2ccco2)[N-]S(=O)(=O)c3ccc4c(c3)CCCC4,0
COc1cccc2c1O[C@H](N3[C@@H]2CC(=N3)c4cc(ccc4[O-])Cl)c5ccc(c(c5)OC)O,0
COc1cc(cc(c1[O-])Br)[C@H]2C3=C(CCCC3=O)Nc4n2nc(n4)SC5CCCCC5,0
CC(C)CN1C2=NC(=NC(C2=C(NC1=O)[O-])(C(F)(F)F)C(F)(F)F)c3cccc(c3)OC,0
Cc1ccccc1c2cc(c3ccccc3n2)C(=O)N/N=C(/C)\c4cccc(c4)[N-]S(=O)(=O)C,0
Cc1ccccc1OCCOc2cccc(c2)/C=N/n3cnnc3,0
COc1cc(cc(c1OC)OC)/C=C/C(=O)O[C@H]2CCCCC2=O,0
Cc1cc(c(n1c2cc(on2)C)C)C(=O)COC(=O)[C@H]3C[C@H]3C,0
C=CCn1c(nnc1SCc2ncon2)c3ccc(cc3)Cl,0
CCCCc1nn2c(=O)cc(nc2s1)COC(=O)C(C)C,0
Cc1ccc2c(c1)cc(c(=O)[nH]2)CN(Cc3ccccc3)S(=O)(=O)c4ccccc4[N+](=O)[O-],0
CCOC(=O)c1c2c(sc1NC(=O)c3c(cnc(n3)S(=O)(=O)CC)Cl)CCCC2,0
CCOc1ccc(cc1)N2[C@H]3CS(=O)(=O)C[C@H]3N(C2=O)CC(=O)NCc4ccc(cc4)C,0
CN(C)C(=O)c1ccc(cc1)NC(=O)COC(=O)/C=C/c2cc3c(c(c2)Cl)OCCCO3,0
Cc1c(c(n(n1)C)C)NC(=O)[C@H](C)Sc2ccc(cn2)S(=O)(=O)N(C)C3CCCCC3,0
